uuid,event_nm,event_tm,data_dt,e_c_ins_payment_option
e5429be8-bb90-41ee-8f96-b6db7ff401fb,ins_login_success,20240115,20240131,
fc14836d-67a8-4c39-97a4-e5195a527c68,ins_login_success,20240125,20240131,
e4689cb1-5521-4318-b37c-4f5c4f337708,transfer_click,20240103,20240131,
10433adf-94f8-466f-a1b4-c63e36c39479,ins_login_success,20240126,20240131,
2fbbf502-7cbe-4f94-8f76-aa27c827c53a,transfer_click,20240109,20240131,
3f900040-72b3-4ebe-813c-d774ea732f97,ins_login_success,20240127,20240131,
dd640ec5-1397-4c85-80d4-0c9b0ec87412,ins_login_success,20240130,20240131,
74b19b69-5190-4b24-b50c-ff3eb7219df6,ins_login_success,20240111,20240131,
21a14b06-7ce8-427a-ab26-da39ea9e8828,ins_login_success,20240120,20240131,
944ea0a3-e3de-402b-b8f0-d5a26a2e4f53,ins_login_success,20240124,20240131,
a46893a9-9e7d-4a2c-852c-487c6cfe8dec,ins_login_success,20240126,20240131,
302d2daa-155d-4942-8ff1-fc4e35056212,ins_login_success,20240123,20240131,
5d02434a-7730-4e7e-9300-f9f82da9f49e,ins_login_success,20240114,20240131,
e7a81003-e8d7-40f2-957f-b1a638557ef8,ins_login_success,20240123,20240131,
26d10e5a-bb8e-4d3f-8a15-56582fc680be,ins_login_success,20240109,20240131,
e0eb3db8-2464-4e2a-aa6d-9ca00ddecc2e,ins_login_success,20240110,20240131,
e26bcced-b7d8-4013-8e8d-3be175b77d8b,ins_login_fail,20240130,20240131,
42107cc2-d189-47e0-8faa-2166ae9d7a7f,ins_login_success,20240115,20240131,
d7b291fe-01bf-429b-bf97-e035dbdde38d,transfer_click,20240118,20240131,
9710e90f-8154-4dac-900f-ad3a878b6e47,ins_login_success,20240121,20240131,
79df5ced-d36b-4589-983a-89f2ca0eca2b,transfer_click,20240119,20240131,
c809c9c5-d0d8-44db-9b6e-9208e9b50134,ins_login_success,20240107,20240131,
95f61989-73cd-4fe9-b2b3-eb5f18fe9991,transfer_click,20240119,20240131,
dbf301f1-e7e3-480f-8c12-9e725377f5d4,ins_login_success,20240105,20240131,
8a1cafbe-996f-4bde-859f-9487489bbc09,ins_login_success,20240121,20240131,
887ae6ed-2589-44f3-bffb-79f838ee8ceb,ins_login_success,20240118,20240131,
c7eecec6-2676-4dd3-8c03-f6aeb4890ba2,ins_login_success,20240127,20240131,
d821b7cc-751d-4671-87c0-380c896467e4,transfer_click,20240101,20240131,
2fbbf502-7cbe-4f94-8f76-aa27c827c53a,ins_login_success,20240112,20240131,
65cf763c-00dc-456a-a790-b8fe807d05c9,ins_login_success,20240106,20240131,
40c4c576-170b-4a96-82ee-4cc8d7df1dc5,ins_login_success,20240113,20240131,
5598ff34-bd87-4217-b0ff-51478f3144b9,ins_login_success,20240117,20240131,
91c4695b-315c-4dba-95fe-1ffca6c17460,ins_login_success,20240109,20240131,
60a9f427-327e-4a1a-bb1f-085f7684f2fe,ins_login_success,20240126,20240131,
7907a343-5d51-41fc-bfb9-a591b2c1a33c,ins_login_success,20240121,20240131,
7952f433-c416-4186-b9b6-7fd8005e399d,ins_login_success,20240101,20240131,
633fdbd7-256d-412f-9c04-b64534034cd0,ins_login_success,20240112,20240131,
f98d954c-252a-4d71-999d-53dd4416833f,ins_login_success,20240124,20240131,
c3555e69-1416-41b2-85ef-c1901c4c173e,ins_login_success,20240101,20240131,
d715bc2d-a097-4d81-801d-aaa2149d66db,ins_login_success,20240104,20240131,
505c0ef3-a70f-46f7-a80f-bf7a250994f6,ins_login_success,20240107,20240131,
90d2a4c6-4cc3-42ef-98dc-8ce3ea7c8c53,transfer_click,20240120,20240131,
9ece9304-383b-47f9-b260-9e237745e4e9,ins_login_fail,20240128,20240131,
610677ea-492b-4627-97b1-62d4d784bb5a,transfer_click,20240105,20240131,
efce2fcc-6d09-47c3-baaf-ceedb996d683,ins_login_success,20240123,20240131,
b90ec8f0-9c6f-43e6-b48a-004f67d4959f,transfer_click,20240120,20240131,
1f8f085f-98a7-4559-bcef-b0473ab520f9,ins_login_success,20240105,20240131,
afdaa813-42c6-44cb-8e16-e14b4a458d27,ins_login_success,20240107,20240131,
