card_id_hktmo,client_number_hktmo,lvl_1,lvl_2,lvl_3,lvl_4,from_date
100f9ad2-e2ff-442c-8e40-bd5b8361bcc3,5dceb6dc-23cc-4a07-b042-6da457a2f42c,Debit,Credit Signature,Visa,None,2024-01-01
4f724936-1e7e-4259-854d-4b26423fb533,018e3ec1-44f0-41ee-ad1d-0d749c7f8485,Debit,Credit Platinum,Visa,None,2024-01-01
a92f8f62-ae28-4a81-91d9-901873c55b53,9f671fdf-fc5e-44fa-acb9-46113d355035,Credit,Debit Standard,Visa,None,2024-01-01
b69a8288-753e-4c54-8480-2eeded44344a,89145cd5-ebf7-4380-8c35-70da1150046f,Debit,Credit Signature,Visa,None,2024-01-01
75383ac9-d41c-4a9c-8589-b75c459c7440,692b3ed5-b5b7-4163-bb85-90baf0c34f5f,Credit,Credit Gold,Visa,None,2024-01-01
62fc19db-49d7-4e46-89c2-02000242a7ea,93ee10d8-dc43-4148-b3ec-ab663f8eaea9,Debit,Credit Signature,Visa,None,2024-01-01
87f34297-193b-46bc-b6a2-651b962a2b19,618479c4-6d40-44fe-9b4c-4f37b8d5977f,Debit,Debit Standard,Visa,None,2024-01-01
1a8e34ae-1cb1-4e0f-bc95-daa776452846,4b8dd4ce-718c-4a13-821e-3585bdfee2f4,Debit,Debit Standard,Visa,None,2024-01-01
8e881a8b-7fcc-4c0c-a2a6-1abafe00d658,b6a544f1-8f12-4d0e-ac82-bdb000ed8868,Debit,Credit Platinum,Visa,None,2024-01-01
61d53bdd-1965-4083-955b-5312812b39e5,891fba2b-dcd7-4852-b141-ef7d43a0bee3,Credit,Debit Standard,Visa,None,2024-01-01
28b6d037-2866-43a9-989a-68a36c7557b9,f02275a0-3faf-47b4-9001-c313011e5a47,Credit,Credit Signature,Visa,None,2024-01-01
2914c759-2571-412b-8fda-2ddc10d781d5,37540745-e4d1-42e0-852a-deab4d0c833f,Debit,Credit Platinum,Visa,None,2024-01-01
7b93d0b3-8502-42cc-b028-f80df23753be,8dc1b9af-a8fc-471f-93c6-4eead45c2751,Credit,Debit Standard,Visa,None,2024-01-01
fc67ef7e-dd76-496e-a0df-2b1769f50508,d9afb070-efca-47da-a753-0929e6b6e44e,Credit,Credit Platinum,Visa,None,2024-01-01
cb0cb884-091f-4c9a-9752-a180b490fbb0,5a6edd74-9ac8-4dc8-9895-e642fff2a6e9,Debit,Credit Platinum,Visa,None,2024-01-01
9c88894e-0f63-4461-935a-ec0090aceb65,92b49e75-f51f-4f17-94e4-31075c9551e2,Credit,Credit Gold,Visa,None,2024-01-01
e90017a0-f7be-4206-922d-d98056537b22,65e66646-4788-49f2-bb88-840d94d388d2,Credit,Credit Platinum,Visa,None,2024-01-01
